 reco_id  subs_id 
    1328    300 
    1329    300 
    1330    300 
    1331    300 
    1332    300 
    1333    300 
    1334    300 
    1335    300 
    1336    300 
    1337    300 
    1338    300 
    1339    300 
    1340    300 
    1341    300 
    1342    300 
    1343    300 
    1344    300 
    1345    300 
    1346    300 
    1347    300 
    1348    300 
    1349    300 
    1350    300 
    1351    300 
    1352    300 
    1353    300 
    1354    300 
    1355    300 
    1356    300 
    1357    300 
    1358    300 
    1359    300 
    1360    300 
    1361    300 
    1362    300 
    1363    300 
    1364    300 
    1365    300 
    1366    300 
    1367    300 
    1368    300 
    1369    300 
    1370    300 
    1371    300 
    1372    300 
    1373    300 
    1374    300 
    1375    300 
    1376    300 
    1377    300 
    1378    300 
    1379    300 
    1380    300 
    1381    300 
    1382    300 
    1383    300 
    1384    300 
    1385    300 
    1386    300 
    1387    300 
    1388    300 
    1389    300 
    1390    300 
    1391    300 
